"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"The Bucket List","Rob Reiner","United States",2007,"Comedies, Dramas","Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.","The Bucket List","Adventure,Drama,Comedy",42,"2 stars"
"The Week Of","Robert Smigel","United States",2018,"Comedies","Two fathers with clashing views about their children's upcoming wedding struggle to keep it together during the chaotic week before the big day.","The Week Of","Comedy",41,"2 stars"
"The Hollow Point","Gonzalo López-Gallego","United States",2016,"Action & Adventure","New straight-arrow sheriff Wallace finds he must join forces with brutal ex-lawman Leland to protect a troubled border town from a cartel hit man.","The Hollow Point","Thriller,Crime",41,"2 stars"
"Fear and Loathing in Las Vegas","Terry Gilliam","United States",1998,"Comedies, Cult Movies, Dramas","A sportswriter and his Samoan lawyer embark on a hallucinogenic three-day romp from Los Angeles to Las Vegas in this counterculture cult favorite.","Fear and Loathing in Las Vegas","Drama,Fantasy",41,"2 stars"
"G-Force","Hoyt Yeatman","United States",2009,"Children & Family Movies, Comedies","When a billionaire sets out to take over the world, only one special forces unit can handle the job – a squad of highly trained guinea pigs.","G-Force","Action,Adventure,Fantasy,Comedy,Family",41,"2 stars"
"The Waterboy","Frank Coraci","United States",1998,"Comedies, Sports Movies","A water boy for a college football team has a rage that makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.","The Waterboy","Sport,Comedy",41,"2 stars"
"Good Burger","Brian Robbins","United States",1997,"Children & Family Movies, Comedies","Working at a neighborhood fast-food joint, two teens try to save the restaurant when a giant burger franchise fires up the competition.","Good Burger","Comedy,Family",41,"2 stars"
"Sahara","Pierre Coré","France, Canada",2017,"Children & Family Movies","When his new love is captured by an evil snake charmer, a young cobra and his scorpion best friend set out across the desert on a wild rescue mission.","Sahara","Action,Adventure,Comedy",41,"2 stars"
"Machete Kills","Robert Rodriguez","United States, Russia",2013,"Action & Adventure","Killer-for-hire Machete cuts a deal with the U.S. president to stop a nuclear missile attack but discovers a much larger conspiracy.","Machete Kills","Action,Thriller,Crime",41,"2 stars"
"Mr. Woodcock","Craig Gillespie","United States",2007,"Comedies","When a self-help author learns that his mother has fallen for his sadistic high school gym teacher, he tries to put a stop to their budding romance.","Mr. Woodcock","Sport,Comedy",41,"2 stars"
"Four Christmases","Seth Gordon","Germany, United States",2008,"Comedies, Romantic Movies","A dating couple is forced to spend their first Christmas together visiting each of their four divorced parents – in a single day.","Four Christmases","Drama,Comedy,Romance",41,"2 stars"
"Chappie","Neill Blomkamp","South Africa, United States",2015,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where a robot police force keeps crime at bay, a lone droid gains the power of artificial intelligence.","Chappie","Action,Sci-Fi,Thriller,Comedy",41,"2 stars"
"Big Daddy","Dennis Dugan","United States",1999,"Comedies","Dumped by his girlfriend because he refuses to accept responsibility, overgrown adolescent Sonny Koufax adopts a 5-year-old to prove he's a grownup.","Big Daddy","Drama,Comedy",41,"2 stars"
"Olympus Has Fallen","Antoine Fuqua","United States",2013,"Action & Adventure","A disgraced Secret Service agent must come to the rescue when Korean terrorists descend on the White House and take the president hostage.","Olympus Has Fallen","Action,Thriller",41,"2 stars"
"Knowing","Alex Proyas","United States, United Kingdom, Australia",2009,"Sci-Fi & Fantasy, Thrillers","An MIT astrophysics professor and his son unearth a string of numbers from a time capsule that seem to reveal a cataclysm that will wipe out humanity.","Knowing","Action,Sci-Fi,Drama,Mystery,Thriller",41,"2 stars"
"Final Destination 3","James Wong","United States, Germany",2006,"Horror Movies","When a girl prevents her premonition of a deadly roller-coaster mishap from coming true, the survivors must face the consequences of cheating death.","Final Destination 3","Mystery,Thriller,Horror",41,"2 stars"
"Bad Boys","Michael Bay","United States",1995,"Action & Adventure, Comedies","In this fast-paced actioner, two Miami narcotics cops are hot on the trail of a master crook who has snatched $100 million worth of heroin.","Bad Boys","Action,Drama,Thriller,Comedy,Crime",41,"2 stars"
"Mojave","William Monahan","United States",2015,"Dramas, Independent Movies, Thrillers","A lethal game of cat and mouse stretches from the desert to Tinseltown after Hollywood bad boy Thomas runs afoul of a cunning and dangerous drifter.","Mojave","Thriller",41,"2 stars"
"Hop","Tim Hill","United States",2011,"Children & Family Movies, Comedies","A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbit's duties so the holiday can continue.","Hop","Comedy",41,"2 stars"
"Basic Instinct","Paul Verhoeven","United States, France",1992,"Classic Movies, Thrillers","A detective investigating a rock star's brutal murder becomes drawn to the prime suspect — a mysterious novelist whose recent book mirrors the crime.","Basic Instinct","Mystery,Thriller,Romance",41,"2 stars"
"What a Girl Wants","Dennie Gordon","United States, United Kingdom",2003,"Children & Family Movies, Comedies","In search of the father she's never met, the daughter of a bohemian American woman heads to Europe and finds that her dad is an uptight politician.","What a Girl Wants","Comedy,Romance",41,"2 stars"
"Mad Money","Callie Khouri, Jesse V. Johnson","United States",2008,"Comedies","A woman joins the janitorial staff of the Federal Reserve Bank and conspires with two co-workers to pilfer old money that's scheduled to be destroyed.","Mad Money","Thriller,Comedy,Romance,Crime",41,"2 stars"
"The Cell","Tarek Al Eryan","Egypt",2017,"Action & Adventure, Dramas, International Movies","A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.","The Cell","Sci-Fi,Thriller,Fantasy,Horror",40,"2 stars"
