"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"Adrift","Baltasar Kormákur","Hong Kong, Iceland, United States",2018,"Action & Adventure, Dramas, Romantic Movies","A young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.","Adrift","Action,Adventure,Drama,Thriller,Romance",56,"3 stars"
"The Brave One","Neil Jordan","United States",2007,"Dramas, Thrillers","New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancé in a brutal Central Park attack.","The Brave One","Drama,Thriller,Crime",56,"3 stars"
"I'll Sleep When I'm Dead","Justin Krook","United States",2016,"Documentaries, Music & Musicals","Superstar DJ Steve Aoki reflects on the driving force behind his career: his ambitious father, Benihana founder and perennial daredevil Rocky Aoki.","I'll Sleep When I'm Dead","Drama,Mystery,Thriller,Crime",56,"3 stars"
"Zack and Miri Make a Porno","Kevin Smith","United States",2008,"Comedies, Independent Movies, Romantic Movies","Zack and Miri make and star in an adult film to bring in easy money. But their unspoken feelings for each other might threaten the whole enterprise.","Zack and Miri Make a Porno","Drama,Comedy,Romance",56,"3 stars"
"Joy","Sudabeh Mortezai","Austria",2019,"Dramas, Independent Movies, International Movies","Close to paying off her debts, a Nigerian sex worker in Austria coaches a reluctant novice, and assesses the risks of taking a faster path to freedom.","Joy","Biography,Drama,History,Comedy",56,"3 stars"
"Wine Country","Amy Poehler","United States",2019,"Comedies","When longtime friends meet up for a wine-soaked birthday getaway in Napa Valley, their perfectly planned weekend turns messier by the minute.","Wine Country","Comedy",56,"3 stars"
"Diary of a Chambermaid","Benoît Jacquot","France, Belgium",2015,"Dramas, International Movies","An attractive young woman goes to work as a chambermaid for a troublesome couple. The wife is unreasonable, and the husband won't stop hitting on her.","Diary of a Chambermaid","Drama",56,"3 stars"
"Take Me","Pat Healy","United States",2017,"Comedies, Independent Movies","With his simulated kidnapping business flagging, an entrepreneur jumps at a weekend abduction opportunity – only to find the job isn't what it seems.","Take Me","Comedy,Crime",56,"3 stars"
"Miss Julie","Liv Ullmann","Norway, United Kingdom, France, Ireland",2014,"Dramas, International Movies","On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook.","Miss Julie","Drama",56,"3 stars"
"Genius","Suseenthiran","India",2018,"Dramas, International Movies","Extreme pressure from his father to excel at school during childhood has dangerous psychological effects on a brilliant but suicidal man’s adult life.","Genius","Biography,Drama",56,"3 stars"
"Die Another Day","Lee Tamahori","United Kingdom, United States",2002,"Action & Adventure","Pierce Brosnan's final outing as 007 finds James Bond facing off against a North Korean terrorist who's in league with a British diamond merchant.","Die Another Day","Action,Adventure,Thriller",56,"3 stars"
"Jumping the Broom","Salim Akil","United States",2011,"Comedies, Romantic Movies","After a whirlwind romance, a couple rushes to say ""I do"" at the bride's family estate on Martha's Vineyard, where their relations meet — and clash.","Jumping the Broom","Comedy",56,"3 stars"
"My Girl","Howard Zieff","United States",1991,"Dramas","This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes.","My Girl","Drama,Comedy,Romance,Family",56,"3 stars"
"Bokeh","Geoffrey Orthwein, Andrew Sullivan","United States, Iceland",2017,"Dramas, Independent Movies, Sci-Fi & Fantasy","After learning they are the sole survivors of an eerie apocalypse, a young American couple on vacation in Iceland ponder their love and the future.","Bokeh","Sci-Fi,Drama",56,"3 stars"
"Race","Mastan Alibhai Burmawalla, Abbas Alibhai Burmawalla","India",2008,"Action & Adventure, International Movies, Music & Musicals","The plot thickens around two horse-racing competitors when three beautiful women come into their lives and a murder is committed.","Race","Biography,Drama,Sport",56,"3 stars"
"Real Steel","Shawn Levy","United States, India",2011,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies","A struggling fighter-turned-promoter reconnects with his estranged son to convert an old-generation robot into a mighty World Robot Boxing contender.","Real Steel","Action,Sci-Fi,Drama",56,"3 stars"
"Across the Universe","Julie Taymor","United States, United Kingdom",2007,"Dramas, Music & Musicals, Romantic Movies","An American girl and a British lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the Beatles.","Across the Universe","Adventure,Drama,Romance,Musical",56,"3 stars"
"Concussion","Stacie Passon","United States",2013,"Dramas, Independent Movies, LGBTQ Movies","A lesbian housewife, feeling trapped in a stale marriage, begins visiting female prostitutes and soon seeks excitement by becoming a sex worker.","Concussion","Drama",56,"3 stars"
"Frank & Lola","Matthew Ross","United States",2016,"Dramas, Thrillers","A talented Las Vegas chef falls in love with an aspiring fashion designer but turns violently jealous when he realizes that she's hiding dark secrets.","Frank & Lola","Drama,Mystery,Thriller,Romance,Crime",56,"3 stars"
"Dinner for Schmucks","Jay Roach","United States",2010,"Comedies","The host of a dinner party invites his friends to bring the saddest loser they can find. But the ultimate schmuck turns everyone else into the losers.","Dinner for Schmucks","Comedy",56,"3 stars"
"A Tale of Love and Darkness","Natalie Portman","Israel, United States",2015,"Dramas, International Movies","Based on the memoirs of author Amos Oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent Israel.","A Tale of Love and Darkness","Biography,Drama,History",55,"3 stars"
"Ordinary World","Lee Kirk","United States",2016,"Comedies, Dramas","A suburban dad having a midlife crisis throws a lavish 40th birthday party to celebrate his punk-rock past but discovers it's not easy going back.","Ordinary World","Drama,Comedy,Music",55,"3 stars"
"Tusk","Kevin Smith","United States",2014,"Horror Movies","When a wise-guy podcaster interviews a disabled seafarer, he decides to embark on a transformational quest to track down a dangerous walrus-monster.","Tusk","Drama,Horror,Comedy",55,"3 stars"
"The Hundred-Foot Journey","Lasse Hallström","United States, India, United Arab Emirates",2014,"Comedies, Dramas","A chef and his family leave India to open an eatery in the south of France, where they clash with the haughty restaurateur across the street.","The Hundred-Foot Journey","Drama,Romance",55,"3 stars"
"Legend","Brian Helgeland","United Kingdom, France, United States",2015,"Dramas, International Movies, Thrillers","Identical twins and notorious gangsters Reggie and Ronnie Kray elude the authorities in 1960s London while transfixing and terrifying the public.","Legend","Biography,Drama,Thriller,Romance,Crime",55,"3 stars"
"Evelyn","Orlando von Einsiedel","United Kingdom",2019,"Documentaries, International Movies","Haunted by the suicide of a brother, a director and his kin walk across the U.K. in an emotionally trying, visually sublime journey toward healing.","Evelyn","Drama",55,"3 stars"
"Red Dawn","John Milius","United States",1984,"Action & Adventure, Cult Movies","A group of teenagers witnesses Soviet and Cuban paratroopers descending on their small Colorado town and systematically setting off World War III.","Red Dawn","Action,Drama",55,"3 stars"
"The Croods","Kirk De Micco, Chris Sanders","United States",2013,"Children & Family Movies, Comedies","When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.","The Croods","Adventure,Comedy,Animation,Family",55,"3 stars"
"Zoom","Peter Hewitt","United States",2006,"Children & Family Movies, Comedies","Dragged from civilian life, a former superhero must train a new crop of youthful saviors when the military preps for an attack by a familiar villain.","Zoom","Drama,Comedy,Animation",55,"3 stars"
"About Time","Richard Curtis","United Kingdom",2013,"Comedies, Dramas, International Movies","When Tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams.","About Time","Sci-Fi,Drama,Fantasy,Comedy,Romance",55,"3 stars"
"Starsky & Hutch","Todd Phillips","United States",2004,"Action & Adventure, Comedies","New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.","Starsky & Hutch","Action,Comedy,Crime",55,"3 stars"
"Detour","Christopher Smith","United Kingdom, South Africa",2016,"Thrillers","Convinced his stepfather caused the crash that left his mother in a coma, a law student drunkenly agrees to his murder, then can't rescind the deal.","Detour","Thriller",55,"3 stars"
"Cloud Atlas","Lilly Wachowski, Lana Wachowski, Tom Tykwer","Germany, United States, Hong Kong, Singapore",2012,"Action & Adventure, Cult Movies, Dramas","In this star-studded drama, six seemingly disparate stories explore the complicated links that humanity shares through the generations.","Cloud Atlas","Sci-Fi,Drama,Mystery",55,"3 stars"
"Becoming Jane","Julian Jarrold","United Kingdom, Ireland",2007,"Dramas, Romantic Movies","A passionate romance with roguish barrister Tom Lefroy serves as the inspiration for the works of budding novelist Jane Austen.","Becoming Jane","Biography,Drama,Romance",55,"3 stars"
"The Boy in the Striped Pajamas","Mark Herman","United Kingdom, United States",2008,"Dramas, Independent Movies, International Movies","When his family moves from Berlin to Poland, a young boy befriends a boy who lives on the other side of the fence, unaware he's a Jewish prisoner.","The Boy in the Striped Pajamas","Drama,Thriller,War",55,"3 stars"
"Concussion","Stacie Passon","United States",2013,"Dramas, Independent Movies, LGBTQ Movies","A lesbian housewife, feeling trapped in a stale marriage, begins visiting female prostitutes and soon seeks excitement by becoming a sex worker.","Concussion","Biography,Drama,Sport",55,"3 stars"
"Dhobi Ghat (Mumbai Diaries)","Kiran Rao","India",2010,"Dramas, International Movies","In this intimate drama, circumstances draw together four people from different castes – which would normally preclude them from forming friendships.","Dhobi Ghat (Mumbai Diaries)","Drama",55,"3 stars"
"Rocky V","John G. Avildsen","United States",1990,"Dramas, Sports Movies","Inspired by the memory of his trainer, a broke and seemingly careerless Rocky finds glory in training and takes on an up-and-coming boxer.","Rocky V","Drama,Sport",55,"3 stars"
"The Visit","Oyefunke Fayoyin",NULL,2015,"Dramas, Independent Movies, International Movies","The lives of uptight, conservative Chidi and Eugenia are thrown into disarray when a loudmouthed, hard-partying new couple moves in next door.","The Visit","Thriller,Horror,Comedy",55,"3 stars"
"The Foreigner","Martin Campbell","United Kingdom, China, United States, India",2017,"Action & Adventure, International Movies","After his daughter is killed by terrorists, a sullen restaurateur seeks the identities of those responsible and travels to Ireland to take vengeance.","The Foreigner","Action,Drama,Mystery,Thriller,Crime",55,"3 stars"
"The Command","Thomas Vinterberg","France, Belgium, Luxembourg, Romania, Canada, United States",2018,"Dramas, International Movies, Thrillers","For the crew trapped aboard a sunken Russian submarine the deadliest threat is the bureaucracy on land. Based on a true story.","The Command","Action,Drama,History,Thriller",55,"3 stars"
"A Futile and Stupid Gesture","David Wain","United States",2018,"Comedies","In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.","A Futile and Stupid Gesture","Biography,Comedy",55,"3 stars"
"The Fundamentals of Caring","Rob Burnett","United States",2016,"Comedies, Dramas, Independent Movies","In this inspirational buddy comedy, a young shut-in and his caregiver take a road trip in search of landmarks, but end up finding hope and friendship.","The Fundamentals of Caring","Drama,Comedy",55,"3 stars"
"The Secret Life of Pets 2","Chris Renaud","United States, France, Japan",2019,"Children & Family Movies, Comedies","On a farm outside New York, Max aims to boost his confidence while in the city, Snowball attempts to rescue a tiger cub and Gidget pretends to be a cat.","The Secret Life of Pets 2","Adventure,Comedy,Animation,Family",55,"3 stars"
"Anesthesia","Tim Blake Nelson","United States",2015,"Dramas, Independent Movies","After a popular professor is attacked on a New York street, the story of how a series of intertwined events led to the life-altering assault unfolds.","Anesthesia","Drama,Thriller",55,"3 stars"
"5 Flights Up","Richard Loncraine","United States",2014,"Comedies, Dramas, Independent Movies","A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.","5 Flights Up","Drama",55,"3 stars"
"The D Train","Jarrad Paul, Andrew Mogel","United Kingdom, United States",2015,"Comedies","A loser in charge of planning his high school class's 20-year reunion thinks he's scored a major coup when he gets a marginally famous alum to attend.","The D Train","Comedy",55,"3 stars"
"Anon","Andrew Niccol","United Kingdom, Canada, United States, Germany",2018,"Dramas, Sci-Fi & Fantasy, Thrillers","In a future where technology has rendered privacy obsolete, a detective investigates a serial assassin who has been deleted from all visual records.","Anon","Sci-Fi,Thriller",54,"3 stars"
"Camp X-Ray","Peter Sattler","United States",2014,"Dramas, Independent Movies","Fresh Army recruit Amy Cole is assigned to Guantanamo Bay's Camp X-Ray, where she forms a surprising bond with one of the prisoners in her charge.","Camp X-Ray","Drama,War",54,"3 stars"
"The Riot Club","Lone Scherfig","United Kingdom",2014,"Dramas, International Movies","After being drafted into an elite secret society, a pair of students at Oxford University see the group's extreme debauchery spiral out of control.","The Riot Club","Drama,Thriller",54,"3 stars"
"The Signal","William Eubank, Will Eubank","United States",2014,"Sci-Fi & Fantasy, Thrillers","During their drive across the country, college pals Nick and Jonah – accompanied by Nick's girlfriend – run into major trouble in the Nevada desert.","The Signal","Sci-Fi,Thriller",54,"3 stars"
"Get Smart","Peter Segal","United States",2008,"Action & Adventure, Comedies","When the identities of secret agents are compromised, hapless Maxwell Smart teams with far more capable Agent 99 to thwart an evil terrorist group.","Get Smart","Action,Adventure,Comedy",54,"3 stars"
"An Evening with Beverly Luff Linn","Jim Hosking","United Kingdom, United States",2018,"Comedies, Independent Movies","When an unhappily married woman discovers a man from her past has a role in a local theater production, she'll do anything to reconnect with him.","An Evening with Beverly Luff Linn","Comedy,Crime",54,"3 stars"
"Bee Movie","Steve Hickner, Simon J. Smith","United States, Australia",2007,"Children & Family Movies, Comedies","Barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along.","Bee Movie","Adventure,Comedy,Animation,Family",54,"3 stars"
"The Pirates of Somalia","Bryan Buckley","Somalia, Kenya, Sudan, South Africa, United States",2017,"Dramas","An aspiring journalist travels to Somalia in hopes of making a name for himself by covering dangerous pirates and hijackers.","The Pirates of Somalia","Biography,Drama",54,"3 stars"
"David Brent: Life on the Road","Ricky Gervais","United Kingdom, United States",2016,"Comedies, International Movies","With ""The Office"" long in the past, middling salesman David Brent ditches work and goes on tour with his rock band in a disastrous stab at stardom.","David Brent: Life on the Road","Comedy,Music",54,"3 stars"
"Elizabeth Harvest","Sebastian Gutierrez","United States",2019,"Dramas, Sci-Fi & Fantasy","When a young newlywed enters the one chamber in her husband’s mansion that’s off-limits, she faces the horrifying consequences of defying the rules.","Elizabeth Harvest","Sci-Fi,Thriller",54,"3 stars"
"You Don't Mess with the Zohan","Dennis Dugan","United States",2008,"Action & Adventure, Comedies","An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist will do anything to make his dreams come true.","You Don't Mess with the Zohan","Action,Drama,Comedy",54,"3 stars"
"The Men Who Stare at Goats","Grant Heslov","United States, United Kingdom",2009,"Comedies","A journalist latches onto an unbelievable story in Iraq when he meets Lyn, a man of mysterious origins who reveals he was a ""warrior monk.""","The Men Who Stare at Goats","Comedy,War",54,"3 stars"
"Jersey Boys","Clint Eastwood","United States",2014,"Dramas, Music & Musicals","Adapted from the hit Broadway musical, this nostalgic look at the Four Seasons and their bumpy offstage lives stretches across four decades.","Jersey Boys","Biography,Drama,Music,Musical",54,"3 stars"
"U Turn","Pawan Kumar","India",2016,"International Movies, Thrillers","A reporter must hunt for the truth behind a strange murder after she crosses paths with a young cop and becomes the investigation's prime suspect.","U Turn","Drama,Thriller,Crime",54,"3 stars"
"Effie Gray","Richard Laxton","United Kingdom",2014,"Dramas, International Movies, Romantic Movies","Trapped in a loveless marriage, the young wife of Victorian-era art critic John Ruskin finds herself falling for an artist — and looking for a way out.","Effie Gray","Drama",54,"3 stars"
"Bobby","Raj Kapoor","India",1973,"Classic Movies, Dramas, International Movies","Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose.","Bobby","Drama,History,Comedy",54,"3 stars"
"Hotel Transylvania 3: Summer Vacation","Genndy Tartakovsky","United States",2018,"Children & Family Movies, Comedies","It's love at first sight for Dracula when he meets Ericka, the charming but mysterious captain of the monster cruise that Mavis plans for the family.","Hotel Transylvania 3: Summer Vacation","Adventure,Sci-Fi,Mystery,Thriller,Fantasy,Horror,Comedy,Crime,Animation,Family",54,"3 stars"
"How to Be a Latin Lover","Ken Marino","Mexico, United States",2017,"Comedies","When an aging Lothario gets the boot from his sugar mama, he must pull out all the stops to find a new female sponsor.","How to Be a Latin Lover","Comedy",54,"3 stars"
"The Discovery","Charlie McDowell","United States",2017,"Dramas, Independent Movies, Romantic Movies","A scientist whose proof of an afterlife caused a rash of suicides forges ahead with his research, while his disapproving son falls for a troubled woman.","The Discovery","Sci-Fi,Drama,Mystery,Thriller,Romance",54,"3 stars"
"The Iron Lady","Phyllida Lloyd","United Kingdom, France",2011,"Dramas, International Movies","Margaret Thatcher, the first female prime minister of Britain, navigates a career destined to change the rules of leadership and politics.","The Iron Lady","Biography,Drama",54,"3 stars"
"Eddie Murphy: Raw","Robert Townsend","United States",1987,"Stand-Up Comedy","This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood.","Eddie Murphy: Raw","Comedy,Documentary",54,"3 stars"
"Imagine That","Karey Kirkpatrick","United States, Germany",2009,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","Work problems are piling up for a businessman. But when he discovers a pathway to his daughter's imaginary world, he starts finding some solutions.","Imagine That","Drama,Fantasy,Comedy,Family",54,"3 stars"
"Sparkle","Sam O'Steen","United States",1976,"Dramas, Music & Musicals","In 1950s Harlem, three singing sisters hit the big time and end up losing one another in this musical melodrama inspired by the Supremes.","Sparkle","Drama,Music,Musical",54,"3 stars"
"Rounders","John Dahl","United States",1998,"Dramas","A law student befriends and ""befoes"" a fellow gambling addict and a club owner, and tensions run high when they must come up with $15k in just 5 days.","Rounders","Drama",54,"3 stars"
"Freak Show","Trudie Styler","United States",2018,"Comedies, Dramas, Independent Movies","Forced to attend a new high school, a glamorous teen navigates hostile territory before taking a stand by running for homecoming queen.","Freak Show","Drama,Comedy",54,"3 stars"
"Kevin Hart: Let Me Explain","Leslie Small, Tim Story","United States",2013,"Stand-Up Comedy","Philadelphia funnyman Kevin Hart takes the stage in front of a sold-out crowd at Madison Square Garden, part of his hit ""Let Me Explain"" world tour.","Kevin Hart: Let Me Explain","Comedy,Documentary",53,"3 stars"
"Viceroy's House","Gurinder Chadha","United Kingdom, India, Sweden",2017,"Dramas","As viceroy Lord Mountbatten arrives in Delhi to oversee a transfer of power from Britain to India in 1947, war looms between religious factions.","Viceroy's House","Biography,Drama,History",53,"3 stars"
"The Promise","Terry George","Spain, United States",2016,"Dramas","As the Ottoman Empire enters WWI, a love triangle involving an Armenian medical student, an artist and an American journalist takes a harrowing turn.","The Promise","Action,Drama,Fantasy",53,"3 stars"
"Dumplin'","Anne Fletcher","United States",2018,"Comedies, Dramas, Independent Movies","To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom.","Dumplin'","Drama,Comedy,Musical",53,"3 stars"
"Earth to Echo","Dave Green","United States",2014,"Children & Family Movies, Sci-Fi & Fantasy","When a construction project begins in their neighborhood, four friends start receiving bizarre encoded text messages on their cell phones.","Earth to Echo","Adventure,Sci-Fi,Family",53,"3 stars"
"Goosebumps 2: Haunted Halloween","Ari Sandel","United States, United Kingdom",2018,"Children & Family Movies, Comedies","Three teens spend their Halloween trying to stop a magical book, which brings characters from the ""Goosebumps"" novels to life.","Goosebumps 2: Haunted Halloween","Adventure,Fantasy,Horror,Comedy,Family",53,"3 stars"
"Benji","Brandon Camp","United Arab Emirates, United States",2018,"Children & Family Movies, Dramas","A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.","Benji","Drama,Crime,Family",53,"3 stars"
"Carrie","Brian De Palma","United States",1976,"Classic Movies, Cult Movies, Horror Movies","An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom.","Carrie","Sci-Fi,Drama,Horror",53,"3 stars"
"Dog Eat Dog","Paul Schrader","United States",2016,"Dramas, Thrillers","A delusional ex-con rejoins his unhinged former partners for one last job: kidnap the baby of a mobster's enemy for ransom.","Dog Eat Dog","Action,Drama,Thriller,Crime",53,"3 stars"
"A Wrinkle in Time","Ava DuVernay","United States",2018,"Children & Family Movies","Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.","A Wrinkle in Time","Adventure,Sci-Fi,Fantasy,Family",53,"3 stars"
"Legend of the Guardians: The Owls of Ga'Hoole","Zack Snyder","United States, Australia",2010,"Children & Family Movies","Soren, a barn owl kidnapped from his peaceful forest home, is brought to an orphanage where he must train to become a soldier.","Legend of the Guardians: The Owls of Ga'Hoole","Adventure,Fantasy,Animation",53,"3 stars"
"Soul Surfer","Sean McNamara","United States",2011,"Dramas, Faith & Spirituality, Sports Movies","Hawaiian teen Bethany Hamilton bravely returns to competitive surfing after losing her left arm in a vicious shark attack.","Soul Surfer","Action,Drama,Sport",53,"3 stars"
"Free State of Jones","Gary Ross","United States",2016,"Action & Adventure, Dramas","A Mississippi farmer turns outlaw as he leads a ragtag band of fellow Civil War deserters and escaped slaves in a rebellion against the Confederacy.","Free State of Jones","Action,Biography,Drama,History,War",53,"3 stars"
"The Art of the Steal","Jonathan Sobol","Canada, United States",2013,"Action & Adventure, Comedies, Independent Movies","Crunch Calhoun, a daredevil motorcyclist and mostly reformed con artist, agrees to do one last job: helping his brother Nicky steal a priceless book.","The Art of the Steal","Comedy,Crime",53,"3 stars"
"The Book of Eli","Albert Hughes, Allen Hughes","United States",2010,"Action & Adventure, Sci-Fi & Fantasy","Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country.","The Book of Eli","Action,Adventure,Drama,Thriller,Western",53,"3 stars"
"Shorts","Robert Rodriguez","United States, United Arab Emirates",2009,"Children & Family Movies, Comedies","Chaos erupts when locals learn that an 11-year-old boy has discovered a mysterious rock that grants the wishes of whoever possesses it.","Shorts","Fantasy,Comedy,Family",53,"3 stars"
"Knock Knock","Eli Roth","United States, Chile, Israel",2015,"Horror Movies, Thrillers","A devoted husband and father on his own for the weekend has his life turned inside out after giving shelter to two young women during a storm.","Knock Knock","Mystery,Thriller,Horror",53,"3 stars"
"Alone in Berlin","Vincent Perez","United Kingdom, France, Germany",2016,"Dramas","After learning of their son's death on the battlefield, a grieving Berlin couple embark on a quietly dangerous act of resistance against Adolf Hitler.","Alone in Berlin","Drama",52,"3 stars"
"Extremely Wicked, Shockingly Evil and Vile","Joe Berlinger","United States",2019,"Dramas, Independent Movies","Single mother Liz falls for Ted Bundy and refuses to believe the truth about his crimes for years. A drama based on a true story.","Extremely Wicked, Shockingly Evil and Vile","Biography,Drama,Thriller,Crime",52,"3 stars"
"Hook","Steven Spielberg","United States",1991,"Children & Family Movies","Peter Pan, now grown up and a workaholic, must return to Neverland to save his kids from the clutches of vengeful pirate Captain Hook.","Hook","Adventure,Fantasy,Comedy,Family",52,"3 stars"
"Center Stage","Nicholas Hytner","United States",2000,"Dramas","Vying for a spot in the American Ballet Company, 12 dance students are ready to push their bodies and minds to the limit to realize their dreams.","Center Stage","Drama,Music",52,"3 stars"
"Man of Tai Chi","Keanu Reeves","United States, China, Hong Kong",2013,"Action & Adventure, Dramas","In this kung fu tale set in Beijing, a young man armed with incomparable martial arts skills gets embroiled in the world of underground fight clubs.","Man of Tai Chi","Action,Drama",52,"3 stars"
"The Last Boy Scout","Tony Scott","United States",1991,"Action & Adventure, Comedies","Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner.","The Last Boy Scout","Action,Thriller,Comedy,Crime",52,"3 stars"
"Anger Management","Peter Segal","United States",2003,"Comedies","After a gentle businessman is forced to get anger management counseling, his therapist moves in – but turns out to have anger issues of his own.","Anger Management","Comedy,Romance",52,"3 stars"
"The Lake House","Alejandro Agresti","United States",2006,"Dramas, Romantic Movies, Sci-Fi & Fantasy","A lonely doctor begins writing letters to the frustrated architect who lives in her former home, only to discover that they're living two years apart.","The Lake House","Drama,Fantasy,Romance",52,"3 stars"
"Stonehearst Asylum","Brad Anderson","United States",2014,"Horror Movies, Thrillers","In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.","Stonehearst Asylum","Thriller",52,"3 stars"
"The Interview","Craig Monahan","Australia",1998,"Cult Movies, Dramas, Thrillers","When a man who's seemingly lost everything is grabbed by police for questioning, it starts a twisted cat-and-mouse game between him and a detective.","The Interview","Action,Comedy",52,"3 stars"
"The Christmas Chronicles","Clay Kaytis","United States",2018,"Children & Family Movies, Comedies","After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick.","The Christmas Chronicles","Adventure,Fantasy,Comedy,Animation,Family",52,"3 stars"
"Justin Bieber: Never Say Never","Jon M. Chu","United States",2011,"Documentaries, Music & Musicals","Teen idol Justin Bieber provides personal snapshots from throughout his career, culminating with scenes from his triumphant 2010 concert tour.","Justin Bieber: Never Say Never","Music,Documentary",52,"3 stars"
"Carrie Pilby","Susan Johnson","United States",2016,"Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.","Carrie Pilby","Drama,Comedy",52,"3 stars"
"Nacho Libre","Jared Hess","United States, Mexico",2006,"Comedies, Sports Movies","When Ignacio learns of an orphanage's financial woes, he pitches in to help – by disguising himself and joining the professional wrestling circuit.","Nacho Libre","Sport,Comedy,Family",52,"3 stars"
"Race to Witch Mountain","Andy Fickman","United States",2009,"Children & Family Movies","A sister and brother with special powers are on the run from a mysterious organization that wants to take advantage of the siblings' gifts.","Race to Witch Mountain","Adventure,Sci-Fi,Thriller,Fantasy,Family",52,"3 stars"
"Triple 9","John Hillcoat","United States",2016,"Dramas, Thrillers","A group of dirty Atlanta cops blackmailed by the Russian mob plan a seemingly impossible heist that sets off an explosive chain reaction of violence.","Triple 9","Action,Drama,Thriller,Crime",52,"3 stars"
"Charlie's Angels","McG","United States, Germany",2000,"Action & Adventure, Comedies","Three beauties use their looks, charm and martial-arts training to kick butt on the trail of stolen software in this reboot of the classic TV series.","Charlie's Angels","Action,Adventure,Comedy,Crime",52,"3 stars"
"Submission","J.M. Berrios","United States",2019,"Action & Adventure, Dramas","After a near-death trip home, a Marine looking to help his comrade survive returns to the underground world of MMA, where new battles await.","Submission","Drama",52,"3 stars"
"5 to 7","Victor Levin","United States",2014,"Comedies, Dramas, Romantic Movies","A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.","5 to 7","Drama,Comedy,Romance",52,"3 stars"
"Like Father","Lauren Miller Rogen","United States",2018,"Comedies, Dramas","After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father.","Like Father","Drama,Comedy",52,"3 stars"
"The Longshots","Fred Durst","United States",2008,"Comedies, Dramas, Sports Movies","When an 11-year-old girl becomes Pop Warner football's first female quarterback, she raises eyebrows – till she takes her team to the brink of glory.","The Longshots","Drama,Sport,Comedy,Family",52,"3 stars"
"Remember","Atom Egoyan","Canada, Mexico, Germany, South Africa",2015,"Action & Adventure, Dramas","Following the written instructions of his friend, senile Zev crosses the country to find and murder the Nazi who killed their families in Auschwitz.","Remember","Drama,Thriller",52,"3 stars"
"The Lodgers","Brian O'Malley","Ireland",2017,"Horror Movies, International Movies","Twin siblings live under a curse in their ancestral home, but one of them is tempted to defy house rules, angering the spirits keeping them hostage.","The Lodgers","Drama,Thriller,Horror,Romance",52,"3 stars"
"Blow","Ted Demme","United States",2001,"Dramas","Cocaine smuggler George rises from poverty to become one of the biggest drug dealers in America before his eventual downfall.","Blow","Biography,Drama,Crime",52,"3 stars"
"Can't Hardly Wait","Harry Elfont, Deborah Kaplan","United States",1998,"Comedies, Romantic Movies","At a wild high school graduation party, aspiring writer Preston hopes to declare his love to popular girl Amanda, who just got dumped by the class jock.","Can't Hardly Wait","Comedy,Romance",52,"3 stars"
"Black Snake Moan","Craig Brewer","United States",2007,"Dramas, Independent Movies","Lazarus finds Rae beaten and near death, and acts as a father figure to help redeem her. But before saving anyone, Lazarus must face his own demons.","Black Snake Moan","Drama,Music",52,"3 stars"
